unit_type,phylo_group,broad_family,branch_class,terminal_snp_norm,surname_id,slava_id,region_id,location_id,lat,long
location_terminal,I1,non_I2,Founder,FGC22061,Ждрало,Ђурђевдан,Средња Босна,Малешићи/Илијаш,43.9307699,18.2837961
location_terminal,E,non_I2,Founder,E-Z16988,Шошо,Никољдан,Херцеговина,Мали Баљивац/Баљивац/Равно,42.7935009,18.047114
location_terminal,R1a,non_I2,Founder,YP270,Митровић,Ђурђиц,Колубара,Мали Борак/Лајковац,44.4555515,20.2109902
location_terminal,I2_unmapped_nonPH908,nonPH908_I2,Relic,S2361,Брчић,Нема,Далматинска острва,Мали Иж/Задар,44.0334525,15.130577
location_terminal,J2,non_I2,Founder,J-L70,Трујкић,Мали Никољдан,Тимочка Крајина,Мали Кривељ/Бор,44.1492178,22.0454914
location_terminal,I1,non_I2,Founder,Y155080,Иванишевић,Ђурђевдан,Босанска Крајина,Мали Радић/Босанска Крупа,44.8426972,16.0883574
location_terminal,E,non_I2,Founder,E-Z13591,Марковић,Петковдан,Шумадија,Мало Орашје/Смедерево,44.564481,20.7851972
location_terminal,N,non_I2,Founder,N-FT213937,Чоловић,Јовањдан,Херцеговина,Мало Поље/Мостар,43.241874,17.8843939
location_terminal,J2,non_I2,Founder,J-FT413312,Радуловић,Јовањдан,Источна Босна,Мало Поље/Хан Пијесак,44.0968627,18.8890171
location_terminal,Y3120_deep_mid_nonPH908,nonPH908_I2,Founder,Z17855,Арсић,Никољдан,Косово,Манастир/Божевце/Косовска Каменица,41.85969,25.58212
